# Xcode 27.0 Info.plist structure definitions: D class kind array-element; K parent key label class
D	_root_	Dictionary	
D	NSATSExceptionUsageDictionary	Dictionary	
K	NSATSExceptionUsageDictionary	NSATSExceptionUsageUserChosenContent	User Chosen Content	Boolean
K	NSATSExceptionUsageDictionary	NSATSExceptionUsageContentEncryptedAtRest	Content Encrypted at Rest	Boolean
K	NSATSExceptionUsageDictionary	NSATSExceptionUsageContentAuthenticatedAtRest	Content Authenticated	Boolean
K	NSATSExceptionUsageDictionary	NSATSExceptionUsageContentEncryptedByApplication	Content Encrypted at Application Layer	Boolean
K	NSATSExceptionUsageDictionary	NSATSExceptionUsageContentEncryptedByNetwork	Content Encrypted at Network Layer	Boolean
K	NSATSExceptionUsageDictionary	NSATSExceptionUsageContentOther	Other	String
D	NSATSExceptionServiceTypeDictionary	Dictionary	
K	NSATSExceptionServiceTypeDictionary	NSThirdPartyAdvertisements	Advertisements	Boolean
K	NSATSExceptionServiceTypeDictionary	NSThirdPartyMail	Mail	Boolean
K	NSATSExceptionServiceTypeDictionary	NSThirdPartyNews	News	Boolean
K	NSATSExceptionServiceTypeDictionary	NSThirdPartyPodcasts	Podcasts	Boolean
K	NSATSExceptionServiceTypeDictionary	NSThirdPartyWebDAV	WebDAV	Boolean
K	NSATSExceptionServiceTypeDictionary	NSThirdPartyRSS	RSS	Boolean
K	NSATSExceptionServiceTypeDictionary	NSThirdPartyMediaStreaming	Media Streaming	Boolean
K	NSATSExceptionServiceTypeDictionary	NSThirdPartyOther	Other	String
D	NSATSExceptionFirstPartyServiceConnectionUsageDictionary	Dictionary	
K	NSATSExceptionFirstPartyServiceConnectionUsageDictionary	NSATSExceptionFirstPartyServiceConnectionPurpose	Connection Purpose	NSATSExceptionServiceTypeDictionaryArray
K	NSATSExceptionFirstPartyServiceConnectionUsageDictionary	NSATSExceptionFirstPartyServiceConnectionUsage	Exception Usage	NSATSExceptionUsageDictionary
D	NSATSExceptionServiceTypeDictionaryArray	Array	NSATSExceptionServiceTypeDictionary
D	NSATSExceptionThirdPartyServiceConnectionUsageDictionary	Dictionary	
K	NSATSExceptionThirdPartyServiceConnectionUsageDictionary	NSATSExceptionThirdPartyServiceConnectionPurpose	Connection Purpose	NSATSExceptionServiceTypeDictionaryArray
K	NSATSExceptionThirdPartyServiceConnectionUsageDictionary	NSATSExceptionThirdPartyServiceConnectionUsage	Exception Usage	NSATSExceptionUsageDictionary
D	APFilesDict	Dictionary	
K	APFilesDict	APFileDescriptionKey	Install file description text	String
K	APFilesDict	APDisplayedAsContainer	Display with folder icon	Boolean
K	APFilesDict	APFileDestinationPath	File destination path	String
K	APFilesDict	APFileName	Install file name	String
K	APFilesDict	APFileSourcePath	Install file source path	String
K	APFilesDict	APInstallAction	File install action	APInstallActionStrings
